Name,Text,Type
011.Container-With-Most-Water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).Find two lines that together with the x-axis form a container, such that the container contains the most water.Return the maximum amount of water a container can store.Notice that you may not slant the container. Example 1:Example 2: Constraints:",Two_Pointers
015.3Sum,NOLEETCODE LINK,Two_Pointers
016.3Sum-Closest,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target.Return the sum of the three integers.You may assume that each input would have exactly one solution. Example 1:Example 2: Constraints:",Two_Pointers
018.4Sum,"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that:You may return the answer in any order. Example 1:Example 2: Constraints:",Two_Pointers
259.3Sum-Smaller,PREMIUMLOCKED,Two_Pointers
030.Substring-with-Concatenation-of-All-Words,"You are given a string s and an array of strings words of the same length. Return all starting indices of substring(s) in s that is a concatenation of each word in words exactly once, in any order, and without any intervening characters.You can return the answer in any order. Example 1:Example 2:Example 3: Constraints:",Two_Pointers
075.Sort-Colors,"Given an array nums with n objects colored red, white, or blue, sort them in-place so that objects of the same color are adjacent, with the colors in the order red, white, and blue.We will use the integers 0, 1, and 2 to represent the color red, white, and blue, respectively.You must solve this problem without using the library's sort function. Example 1:Example 2: Constraints: Follow up: Could you come up with a one-pass algorithm using only constant extra space?",Two_Pointers
026.Remove-Duplicates-from-Sorted-Array,"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same.Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements.Return k after placing the final result in the first k slots of nums.Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory.Custom Judge:The judge will test your solution with the following code:If all assertions pass, then your solution will be accepted. Example 1:Example 2: Constraints:",Two_Pointers
080.Remove-Duplicates-from-Sorted-Array-II,"Given an integer array nums sorted in non-decreasing order, remove some duplicates in-place such that each unique element appears at most twice. The relative order of the elements should be kept the same.Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements.Return k after placing the final result in the first k slots of nums.Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory.Custom Judge:The judge will test your solution with the following code:If all assertions pass, then your solution will be accepted. Example 1:Example 2: Constraints:",Two_Pointers
209.Minimum-Size-Subarray-Sum,"Given an array of positive integers nums and a positive integer target, return the minimal length of a contiguous subarray [numsl, numsl+1, ..., numsr-1, numsr] of which the sum is greater than or equal to target. If there is no such subarray, return 0 instead. Example 1:Example 2:Example 3: Constraints: ",Two_Pointers
088.Merge-Sorted-Array,"You are given two integer arrays nums1 and nums2, sorted in non-decreasing order, and two integers m and n, representing the number of elements in nums1 and nums2 respectively.Merge nums1 and nums2 into a single array sorted in non-decreasing order.The final sorted array should not be returned by the function, but instead be stored inside the array nums1. To accommodate this, nums1 has a length of m + n, where the first m elements denote the elements that should be merged, and the last n elements are set to 0 and should be ignored. nums2 has a length of n. Example 1:Example 2:Example 3: Constraints: Follow up: Can you come up with an algorithm that runs in O(m + n) time?",Two_Pointers
283.Move-Zeroes,"Given an integer array nums, move all 0's to the end of it while maintaining the relative order of the non-zero elements.Note that you must do this in-place without making a copy of the array. Example 1:Example 2: Constraints: ",Two_Pointers
141.Linked-List-Cycle,"Given head, the head of a linked list, determine if the linked list has a cycle in it.There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to. Note that pos is not passed as a parameter.Return true if there is a cycle in the linked list. Otherwise, return false. Example 1:Example 2:Example 3: Constraints: Follow up: Can you solve it using O(1) (i.e. constant) memory?",Two_Pointers
142.Linked-List-Cycle-II,"Given the head of a linked list, return the node where the cycle begins. If there is no cycle, return null.There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to (0-indexed). It is -1 if there is no cycle. Note that pos is not passed as a parameter.Do not modify the linked list. Example 1:Example 2:Example 3: Constraints: Follow up: Can you solve it using O(1) (i.e. constant) memory?",Linked_List
360.Sort-Transformed-Array,PREMIUMLOCKED,Two_Pointers
713.Subarray-Product-Less-Than-K,"Given an array of integers nums and an integer k, return the number of contiguous subarrays where the product of all the elements in the subarray is strictly less than k. Example 1:Example 2: Constraints:",Two_Pointers
923.3Sum-With-Multiplicity,NOLEETCODE LINK,Two_Pointers
1234.Replace-the-Substring-for-Balanced-String,"You are given a string s of length n containing only four kinds of characters: 'Q', 'W', 'E', and 'R'.A string is said to be balanced if each of its characters appears n / 4 times where n is the length of the string.Return the minimum length of the substring that can be replaced with any other string of the same length to make s balanced. If s is already balanced, return 0. Example 1:Example 2:Example 3: Constraints:",Two_Pointers
1498.Number-of-Subsequences-That-Satisfy-the-Given-Sum-Condition,NOLEETCODE LINK,Two_Pointers
1574.Shortest-Subarray-to-be-Removed-to-Make-Array-Sorted,NOLEETCODE LINK,Two_Pointers
1580.Put-Boxes-Into-the-Warehouse-II,NOLEETCODE LINK,Two_Pointers
1687.Delivering-Boxes-from-Storage-to-Ports,NOLEETCODE LINK,Two_Pointers
1793.Maximum-Score-of-a-Good-Subarray,NOLEETCODE LINK,Two_Pointers
1989.Maximum-Number-of-People-That-Can-Be-Caught-in-Tag,NOLEETCODE LINK,Two_Pointers
532.K-diff-Pairs-in-an-Array,"Given an array of integers nums and an integer k, return the number of unique k-diff pairs in the array.A k-diff pair is an integer pair (nums[i], nums[j]), where the following are true:Notice that |val| denotes the absolute value of val. Example 1:Example 2:Example 3: Constraints:",Two_Pointers
611.Valid-Triangle-Number,"Given an integer array nums, return the number of triplets chosen from the array that can make triangles if we take them as side lengths of a triangle. Example 1:Example 2: Constraints:",Two_Pointers
1004.Max-Consecutive-Ones-III,NOLEETCODE LINK,Two_Pointers
